state,value
Washington,2
Delaware,0.312317902
District of Columbia,0.420281645
Wisconsin,1.977015215
West Virginia,0.561832308
Hawaii,0.338782778
Florida,5.039252185
Wyoming,0.272984785
New Hampshire,0.394221431
Kansas,1.174651991
New Jersey,2.855212043
New Mexico,0.50623179
Texas,7.303820006
Louisiana,1.551553901
North Carolina,2.630220136
North Dakota,0.420605374
Nebraska,0.716170282
Tennessee,1.739155066
New York,5.783263192
Pennsylvania,4.152233733
Rhode Island,0.369051473
Nevada,0.711152477
Virginia,2.218921981
Colorado,1.466898673
California,10.54548398
Alabama,1.47094529
Arkansas,1.018857235
Vermont,0.396163807
Illinois,4.635480738
Georgia,2.784800906
Indiana,2.081984461
Iowa,1.049773389
Oklahoma,1.299854322
Arizona,1.41769181
Idaho,0.471673681
Connecticut,1.080689544
Maine,0.398915507
Maryland,1.872936225
Massachusetts,2.832550987
Ohio,3.672466818
Utah,0.787876335
Missouri,2.137180317
Minnesota,1.997167368
Michigan,3.76416316
Alaska,0.390336679
Montana,0.390498543
Northern Mariana Islands,0.021528003
Mississippi,1.20297831
South Carolina,1.196341858
Kentucky,1.506474587
Oregon,1.100437035
South Dakota,0.353998058
